# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	27102
#@/user_id	1f16c4d4-a41a-4522-b9ab-3db93a4af922
bao du 	報毒	c=1 d=2.54982e-12 t=27102
bao feng yu 	暴風雨	c=1 d=0.0930145 t=27102
bao gao 	報告	c=1 d=3.4753e-08 t=27102
bao han 	包含	c=6 d=0.0507928 t=27102
bao hu 	保護	c=1 d=3.69083e-10 t=27102
bao jing 	報警	c=2 d=1.88139e-16 t=27102
bao kuo 	包括	c=7 d=0.329569 t=27102
bao lei 	暴雷	c=1 d=0.00180897 t=27102
bao li 	保利	c=0 d=0.000357068 t=27102
bao li shi dai 	保利時代	c=2 d=0.00745663 t=27102
bao liao 	爆料	c=1 d=0.141564 t=27102
bao liu 	保留	c=2 d=3.29458e-06 t=27102
bao ming 	包名	c=2 d=6.4115e-11 t=27102
bao qian 	抱歉	c=1 d=0.467666 t=27102
bao rong 	包容	c=1 d=0.000863083 t=27102
bao shou 	飽受	c=0 d=1.4059e-09 t=27102
bao shou zheng yi 	飽受爭議	c=1 d=1.41295e-08 t=27102
bao song 	保送	c=1 d=0.23457 t=27102
bao song 	報送	c=0 d=0.0232236 t=27102
bao xian 	保險	c=1 d=0.000401622 t=27102
bao xian xiang 	保險箱	c=1 d=0.0258615 t=27102
bao yu 	暴雨	c=9 d=1.24371e-07 t=27102
bao zheng 	保證	c=2 d=1.15943e-05 t=27102
bao zheng 	暴政	c=1 d=7.21153e-08 t=27102
bao zhi 	保值	c=0 d=1.89713e-05 t=27102
bao zhi gao 	保值高	c=1 d=0.000190664 t=27102
bei 	倍	c=1 d=0.00229965 t=27102
bei 	北	c=2 d=0.000321134 t=27102
bei 	唄	c=13 d=0.548828 t=27102
bei 	被	c=23 d=0.52196 t=27102
bei bao 	背包	c=1 d=6.79272e-10 t=27102
bei fen 	備份	c=3 d=0.0712056 t=27102
bei feng jin 	被封禁	c=1 d=3.95226e-21 t=27102
bei jing 	北京	c=2 d=0.310367 t=27102
bei jing 	背景	c=3 d=0.318224 t=27102
bei jing se 	背景色	c=2 d=0.613508 t=27102
bei mo 	被膜	c=1 d=0.00110269 t=27102
bei ni 	被你	c=1 d=7.35846e-10 t=27102
bei ou 	北歐	c=1 d=0.869358 t=27102
bei pai 	被拍	c=1 d=4.09944e-10 t=27102
bei qi 	北汽	c=1 d=6.67204e-05 t=27102
bei qiang 	被牆	c=1 d=0.0124629 t=27102
bei wo 	被我	c=1 d=0.657047 t=27102
bei yong 	備用	c=3 d=1.54969e-05 t=27102
bei zi 	杯子	c=1 d=5.17027e-05 t=27102
ben 	本	c=6 d=0.955333 t=27102
ben 	笨	c=1 d=0.683861 t=27102
ben chi 	奔馳	c=1 d=2.92392e-05 t=27102
ben di 	本地	c=18 d=2.64122 t=27102
ben fen 	本分	c=2 d=1.00579e-06 t=27102
ben ke 	本科	c=2 d=8.5907e-08 t=27102
ben lai 	本來	c=11 d=0.118054 t=27102
ben li 	本例	c=1 d=0.718924 t=27102
ben mo dao zhi 	本末倒置	c=0 d=4.68957e-05 t=27102
ben mo dao zhi le 	本末倒置了	c=1 d=0.000471307 t=27102
ben ren 	本人	c=1 d=6.47816e-11 t=27102
ben shi 	本事	c=1 d=2.99173e-10 t=27102
ben wen 	本文	c=5 d=0.705801 t=27102
ben wen wan 	本文完	c=1 d=3.3138e-07 t=27102
ben zhan 	本站	c=1 d=0.0555762 t=27102
beng bu 	蚌埠	c=0 d=8.54786e-09 t=27102
